created_at,id,lng,lat,topic,sentiment,stance,gender,temperature_avg,aggressiveness,text,statement_about_future,
2008-08-23 11:22:25+00:00,896419415,,,Global stance,0.03110802173614502,believer,male,,not aggressive,study to predict climate change.: academics in perth are leading an international project to predict how.. LINK,n,
2009-03-02 16:43:30+00:00,1269828860,-80.84313,35.22709000000001,Weather Extremes,-0.14807295908927917,neutral,male,-8.607292999999999,not aggressive,sure could use some global warming about now.,n,
2009-03-28 04:53:04+00:00,1405580107,-95.99277000000001,36.153980000000004,Weather Extremes,-0.31946544153690337,denier,male,-8.1944,aggressive,please bring on the global warming.  tulsa is going to have 3-6 of snow by saturday morning.,y,
2009-03-31 09:18:00+00:00,1423385472,0.0088,50.87398,Global stance,0.38038505613803864,believer,female,0.20842588,not aggressive,american corporates get antsy about climate change - go for it i say (tho' seeing will be believing...) LINK # sustainability,n,
2009-06-12 03:39:09+00:00,2126584065,,,Weather Extremes,-0.7244529102563858,denier,male,,aggressive,"i'm not a greenie. don't care much about global warming, but i hate my energy dollars going to people who want us dead.",n,
2009-06-24 10:11:18+00:00,2308595742,,,Politics,-0.006152641773223916,neutral,male,,not aggressive,drinks at parli house with the wongster. i'm thinking that before too long those canapes will be contributing to climate change.,y,
2009-08-05 12:14:58+00:00,3144137284,,,Impact of Resource Overconsumption,-0.6462866944074631,believer,male,,aggressive,"it's so serious, it's so morally weighted that it could kill a novel.  ian mcewan's next subject: climate change  LINK",n,
2009-08-27 15:27:15+00:00,3581115301,,,Global stance,-0.06942670047283173,believer,male,,not aggressive,bbc: protecting societies against impacts of climate change will be much more expensive than the un believes...LINK,y,
2009-09-09 01:34:48+00:00,3853804975,,,Global stance,0.4108918458223343,believer,male,,aggressive,climate change - water resources will be significantly impacted on extremes from floods to drought,y,
2009-11-09 02:04:31+00:00,5547623470,,,Importance of Human Intervantion,0.7713228578805924,believer,male,,aggressive,"amazing climate change video! LINK to quote catherine porter, mama bears, let's step up for our cubs' future'!!!",n,
2009-11-28 19:24:19+00:00,6148553911,,,Global stance,-0.38546206057071686,neutral,male,,aggressive,"munich re, insurance giant, says #climatechange could cost billions LINK #climate #cop15",y,
2009-12-05 12:48:28+00:00,6368379052,,,Importance of Human Intervantion,0.13080760002136232,believer,male,,not aggressive,where could other countries cabinets meet to highlight climate change? | peter walker LINK,n,
2009-12-06 01:43:05+00:00,6386588190,-114.3647561,42.5338019,Weather Extremes,-0.07731867554187777,neutral,male,-9.0926,not aggressive,USER_REF USER_REF this could be a great night if nebraska & clemson win. i hope the bcs system becomes as big a joke as global warming.,y,
2009-12-09 19:19:42+00:00,6505674152,1.29227,52.62860600000001,Importance of Human Intervantion,-0.4529609594345093,neutral,undefined,3.393511,not aggressive,"rt USER_REF world meets to discuss climate change, i've not been invited :-/ nor us... hang on... we might have been busy...",n,
2009-12-20 16:33:08+00:00,6864136656,,,Global stance,-0.37204949862957,believer,male,,not aggressive,"tackling climate change was always going to be a process, not an event, no matter what did or did not happen at #copenhagen",y,
2010-01-08 00:40:41+00:00,7498657070,-117.27420000000001,32.84727,Seriousness of Gas Emissions,0.5706579277992249,believer,male,2.8435922,not aggressive,rt USER_REF: scripps researcher shows how improving developing world cooking methods could slow #global warming: LINK,y,
2010-01-16 21:47:27+00:00,7840325167,,,Ideological Positions on Global Warming,0.03610966756343839,neutral,male,,not aggressive,#youmightbealiberal if you think the haiti earthquake because of global warming and america #tcot #p2,n,
2010-02-03 21:33:09+00:00,8604104673,,,Donald Trump versus Science,-0.16415961544513702,believer,male,,not aggressive,"i really want to golf, too bad the sub zero temperatures say otherwise.  now if only i could find a way to accelerate global warming...",n,
2010-03-05 19:18:47+00:00,10037986390,,,Weather Extremes,-0.03441292390823364,believer,female,,not aggressive,USER_REF global warming and what could happen if we don't do anything about it?,y,
2010-04-08 10:17:56+00:00,11816315297,,,Weather Extremes,-0.2618460778917585,believer,male,,not aggressive,"USER_REF i soooooo hope you are right, but i could almost see snow again i think.. damn global warming.. but rt coming for sure! ;)",n,
2010-04-12 14:06:31+00:00,12047863382,,,Seriousness of Gas Emissions,-0.3855696937365966,neutral,male,,aggressive,"new post: the palinite: if we could find a way to turn up the global warming, we could turn this area... LINK",y,
2010-04-28 13:55:20+00:00,13007642519,,,Global stance,-0.3292498022317886,believer,female,,not aggressive,rt USER_REF: whale excrement could help fight climate change LINK worth tweeting it just for the headline.,y,
2010-08-19 22:25:31+00:00,21612717579,,,Impact of Resource Overconsumption,-0.12706723470687864,believer,male,,aggressive,"paying the poor to plant their own trees might solve many problems (poverty+global warming) even war! use micro finance structure, no waste!",y,
2010-12-16 13:29:34+00:00,15398127531986944,,,Weather Extremes,0.44088201122738063,neutral,male,,aggressive,i could really use some global warming right about now.,n,
2010-12-19 15:19:28+00:00,16512949082398720,-74.0060152,40.7127281,Weather Extremes,-0.38184982153574626,believer,male,-3.3518493,aggressive,global warming doesn't lead to 'warm & sunny all the time'. leads to climate change and disruption of predictable climate patterns.,y,
2011-03-23 00:03:53+00:00,50346994354495488,,,Impact of Resource Overconsumption,-0.6405637394269307,believer,male,,not aggressive,don't give north korea ideas rt USER_REF: a small nuclear war could reverse global warming for several years! how? -- LINK,y,
2011-07-08 16:32:13+00:00,89371218762940416,,,Weather Extremes,0.20767776392300924,believer,male,,not aggressive,#science ancient earth not as hot as previously thought: findings could help better understand global warming today. LINK,n,
2011-09-17 11:17:18+00:00,115021505389268992,-77.53382759,41.89305979,Weather Extremes,-0.3630546685457229,denier,male,-5.0076184,aggressive,i guess hurricane prevalence/intensity isn't tied to global warming anymore. seems like al gore doesn't go predicting bad seasons anymore.,n,
2011-11-01 23:34:48+00:00,131514556429254656,,,Weather Extremes,-0.3671478222608566,neutral,male,,not aggressive,global warming causing ice age! rt USER_REF: is this going to be the 3rd straight record cold winter caused by global warming?,y,
2011-11-21 16:15:50+00:00,138651844657414144,,,Importance of Human Intervantion,-0.0669604650417964,neutral,female,,not aggressive,lol! oh crap-- rt USER_REF: USER_REF he's just planning ahead to get his daughter a bike to help with global warming in the future.,y,
2011-12-03 20:00:01+00:00,143056916707414016,-74.65905000000001,40.34872,Donald Trump versus Science,0.18961979494094847,believer,female,0.5769509,not aggressive,how might global warming affect california's mighty santa ana winds? insight from our friends at USER_REF LINK #climate,y,
2012-06-21 13:45:58+00:00,215802746677379072,,,Donald Trump versus Science,0.38485244467258456,neutral,male,,not aggressive,"this whole ice age thing is getting old, you know what i could go for a global warming #iceage #sid #oneofthebestfilmsever 3",n,
2012-06-30 10:12:49+00:00,219010595750543360,3.3941795,6.4550575,Global stance,-0.32410073623657226,believer,male,0.11984913,not aggressive,global warming and the consequent rising water levels makes flooding inevitable. many more cities including pdp run states will be flooded,y,
2012-07-08 13:44:33+00:00,221962981062348800,,,Weather Extremes,0.017838794883092257,neutral,male,,not aggressive,global warming will increase tropical forests: we've been told often enough that climate change is going to mean... LINK,y,
2012-07-19 08:46:45+00:00,225874304624099328,,,Weather Extremes,0.013602941107749938,neutral,male,,not aggressive,"USER_REF USER_REF they moved the gulf streem last week, probably stopped global warming by now ( - sausages will be USER_REF)",n,
2012-07-19 20:16:44+00:00,226047942941880320,,,Significance of Pollution Awareness Events,-0.5871054838418961,believer,male,,aggressive,insect damage on eocene fossil plants may predict global warming consequences - LINK insect dama... LINK,y,
2012-08-03 06:51:43+00:00,231281172775309312,140.8691498,38.2677554,Weather Extremes,0.5158963938951493,believer,female,2.4231515,not aggressive,d( ) go to my bedroom also global warming and global warming progresses. i will be sleeping all day because dehydration. (−_−),y,
2012-08-06 10:29:23+00:00,232423117044211712,96.81,26.206,Weather Extremes,-0.7356287641525269,believer,male,-0.5293088,not aggressive,whole day under burning sun. global warming is horribly effecting. l'm horrified by thinking future situation of... LINK,n,
2013-03-10 20:25:22+00:00,310848879107129344,-122.71443000000001,38.440470000000005,Weather Extremes,0.5681782316207886,neutral,female,0.6910831000000001,not aggressive,"USER_REF USER_REF still one of the scariest rendering of global warming in sf, arguably. didn't just predict problems of cyberculture!",n, 
2013-04-24 05:55:06+00:00,326937321280774144,-116.78467,34.687430000000006,Importance of Human Intervantion,-0.5397945658922195,neutral,male,1.0737556,not aggressive,un climate chief says 2015 global warming talks won't be a repeat of failed ... LINK,y,
2013-05-22 22:02:08+00:00,337327543088709632,,,Weather Extremes,0.23632072608470917,believer,undefined,,aggressive,"if global warming forecasts are true, the island country of tuvalu might cease to exist within 100 years.",y,
2013-05-29 17:08:41+00:00,339790408362110976,-118.49119,34.019450000000006,Global stance,0.02244594693183899,neutral,female,1.6996337,aggressive,"climate change adaptation: so simple, a caveman could do it | grist LINK #globalwarming",n,
2013-09-16 17:18:08+00:00,379655453841850368,,,Weather Extremes,-0.6389617350684272,neutral,male,,not aggressive,USER_REF USER_REF think you might experience some serious global warming in australia this year :(,y,
2013-09-30 07:57:17+00:00,384587741440122880,,,Weather Extremes,-0.24325841863155365,neutral,male,,aggressive,"'there are advantages to global warming, says minister' - has he worked out this might mean more northerners living longer?",n,
2013-12-21 02:25:40+00:00,414220092600483840,,,Weather Extremes,-0.5783076305866242,neutral,male,,aggressive,would you clone yourself if you could? — thats two cause of global warming there :( LINK,n,
2014-02-08 17:32:20+00:00,432205266205945856,,,Undefined / One Word Hashtags,0.28166748583316803,believer,male,,aggressive,canada's role in an arid future LINK #climatechange #globalwarming,n,
2014-02-14 20:55:21+00:00,434430684841533440,-1.7202003766777243,53.74142710000001,Weather Extremes,0.5405790040969849,neutral,male,0.9736298,not aggressive,"if there is global warming, this is what it could look like in britain: , says geoffrey lean. LINK",y,
2014-05-21 02:16:46+00:00,468938421910929408,-122.33207000000002,47.606210000000004,Weather Extremes,0.05257452058224449,denier,male,1.8356045,aggressive,"wake up, sheeple! USER_REF hasn't been wrong about a single puzzle in 40 years! he's ancient and has to be right about #globalwarming !",n,
2014-08-21 18:34:31+00:00,502524163815649280,,,Weather Extremes,-0.5492631534735362,believer,male,,not aggressive,USER_REF most of the people who actively caused it will be dead when the effects of global warming really get going.,y,
2014-11-16 22:06:56+00:00,534105363545853952,,,Weather Extremes,0.1019786883354187,denier,male,,aggressive,"USER_REF if we start to hear the truth from the #obama administration, there will be instant global warming.",y,
2014-11-21 03:32:26+00:00,535636829286838272,-117.85311000000002,33.78779,Weather Extremes,0.019707315325736996,believer,male,1.4152472,not aggressive,ftr global warming doesn't mean every part of the planet is going to be warmer always #whywesayclimatechangeformorons #p2 #tcot,y,
2014-12-16 02:03:17+00:00,544674090817454080,,,Importance of Human Intervantion,-0.5416749063389642,believer,male,,aggressive,a single word in the in the peru #climatechange negotiations could undermine the whole thing. LINK LINK,n,
2015-03-31 12:02:16+00:00,582875557957779456,,,Global stance,-0.023745116996765136,believer,male,,not aggressive,"network of fungus could help fight climate change and pandemics, experts claim LINK",y,
2015-04-14 01:34:39+00:00,587791042361090048,,,Importance of Human Intervantion,0.6489661599556604,believer,female,,not aggressive,#ontario takes a bold exemplary step to address #climatechange #climateaction; for future generations! #onclimate  LINK,n,
2015-05-08 01:34:30+00:00,596488311763542016,,,Weather Extremes,0.25083874173164367,believer,female,,not aggressive,"USER_REF absolutely well-said! *standing ovation* now, if only you could get your head on straight about global warming... ;)",n,
2015-06-17 11:06:10+00:00,611127692054757376,,,Global stance,-0.007756724953651456,believer,male,,aggressive,pope's climate change encyclical could sway u.s. opinion-scientists LINK,y,
2015-06-18 08:42:26+00:00,611453906200186880,,,Politics,-0.470186991890994,neutral,male,,not aggressive,june 18th: department of energy  climate change announces from april 1st 2016 new onshore wind farms will be excluded from a subsidy scheme,y,
2015-06-18 09:20:16+00:00,611463426829783040,,,Global stance,-0.1404703587055206,believer,male,,not aggressive,"pope predicts future wars over water, to personally call world leaders to discuss climate change: pope francis... LINK",y,
2015-06-22 18:44:23+00:00,613054946121023488,,,Global stance,-0.3791915029287338,believer,male,,not aggressive,"nytpolitics: effects of climate change could cost billions, e.p.a. report says LINK LINK",y,
2015-06-26 22:34:56+00:00,614562513959669760,18.284482099999998,59.242110499999995,Donald Trump versus Science,-0.4077825421651204,believer,male,-1.8336132,not aggressive,USER_REF the test will be if they remember the polar ice has melted due to global warming. talk about cognitive dissonance in action.,n,
2015-07-02 03:13:05+00:00,616444455017684992,,,Importance of Human Intervantion,-0.3573244512081146,believer,male,,not aggressive,USER_REF do you think there will be a major global climate deal at #cop21 this year? we need to act on #climatechange!,y,
2015-07-23 03:27:51+00:00,624058314566057984,,,Global stance,0.01327628290219739,believer,male,,aggressive,"rt rice revolution? new rice could help feed world, fight climate change ... - christian science…  -  LINK",y,
2015-07-24 12:47:25+00:00,624561524825280512,,,Donald Trump versus Science,0.43278855085372925,denier,male,,not aggressive,mini-ice age prediction heats up #climatechange debate! LINK #globalwarming #globalcooling #whatever USER_REF,n,
2015-07-28 19:36:12+00:00,626113949902090240,-87.21691000000001,30.421310000000002,Donald Trump versus Science,-0.1301309690713883,neutral,male,1.5887228,not aggressive,"on now! USER_REF top stories: potus says he could win a 3rd term. plus, hillary flies private after lecturing on global warming",y,
2015-08-05 20:45:03+00:00,629030379509276672,-77.03636999999998,38.89511,Seriousness of Gas Emissions,0.06904108822345734,believer,male,0.9954449,not aggressive,antiburp compound could reduce methane emissions from cows LINK #climatechange,y,
2015-08-28 12:47:56+00:00,637245228823539712,,,Weather Extremes,0.07522636556625367,believer,male,,aggressive,"after all, 'hard-working bill payers' are obviously going to be immune to the effects of climate change. stands to reason.",y,
2015-11-02 17:46:44+00:00,661238024672518144,,,Weather Extremes,-0.6927895783662796,believer,male,,aggressive,"USER_REF welp. even if climate change might not be real, let's assume it is and do something about it because otherwise we're fucked.",y,
2015-12-10 10:45:50+00:00,674902837906636800,153.02809000000002,-27.467940000000002,Undefined / One Word Hashtags,-0.7396051234722137,believer,male,1.9412647,aggressive,#elnino making this #ethiopia's worst drought in 50 years. women and children most affected. #gender #climatechange LINK,n,
2015-12-12 13:28:53+00:00,675668645960380416,4.351697,50.8465573,Global stance,0.007970518708229068,believer,male,4.611351,aggressive,#climatejusticepeace no challenge poses a greater threat to future generations than climate change LINK,y,
2015-12-12 18:57:38+00:00,675751377910546432,-77.0365427,38.89503679999999,Importance of Human Intervantion,0.1259709438085556,believer,female,9.202122,not aggressive,paris agreement commits world to low carbon future LINK via USER_REF #cop21 #climatechange,n,
2015-12-18 05:29:03+00:00,677722219758358528,,,Global stance,0.3594628691673279,believer,male,,not aggressive,rt  some of yr cities will be underwater in a few years because of climate change and yr descendants will be so em… LINK,y,
2015-12-19 12:36:31+00:00,678192184529715200,,,Weather Extremes,0.16991594984531405,neutral,male,,not aggressive,"USER_REF ;o funny thing is, all predictions i've seen somehow make britain an ok place for global warming, others...well, ya know",y,
2015-12-20 20:50:19+00:00,678678840571490304,-2.23333,53.45,Importance of Human Intervantion,0.47069209814071655,believer,undefined,5.8763943,not aggressive,hearing USER_REF speaking about climate change on USER_REF USER_REF #encouraging #cop21 #futuregenerations #greenfuture,n,
2015-12-29 23:05:26+00:00,681974333082890240,,,Weather Extremes,0.637711863595468,believer,male,,not aggressive,think on this when rain pours down tonight: 'enjoy life while you can: in 20 years global warming will hit the fan' LINK,y,
2016-01-13 18:30:46+00:00,687341028408344576,,,Global stance,0.020339566588401817,believer,male,,not aggressive,how huge icebergs could be slowing #climate changeLINK a #solution but thanks #icebergs!,y,
2016-01-24 13:31:47+00:00,691252054468214784,,,Weather Extremes,0.5492948056936264,neutral,female,,not aggressive,"the sun god is the soul of all beings”, indian pm at #cop21. world must turn to sun to power the future.” #climatechange #quote",n,
2016-01-28 23:54:25+00:00,692858296852611072,,,Global stance,0.6868707286039989,believer,male,,not aggressive,.USER_REF: climate change will be big part of discussion. we're ready for that. we'll be doing our part to play a very significant role.,y,
2016-02-23 10:47:12+00:00,702082274565742592,,,Undefined / One Word Hashtags,-0.06728791296482087,believer,female,,not aggressive,drought could impact nearly all u.s. forests - LINK #drought #climatechange #deforestation LINK,y,
2016-02-24 19:58:32+00:00,702583409999286272,,,Politics,0.16559407467842102,believer,male,,not aggressive,rt we watched a video abt climate change and energy in environmental science and i am v excited about the future o… LINK,n,
2016-02-29 05:04:59+00:00,704170477648883712,18.309629599999997,49.0739412,Impact of Resource Overconsumption,-0.4502112440506617,neutral,male,3.1369755,aggressive,doesn't leo know that climate change could have prevented the titanic tragedy? how quickly we forget.,n,
2016-03-04 02:31:01+00:00,705581284186140672,-72.30787000000001,43.71535,Undefined / One Word Hashtags,-0.6723086607376734,believer,male,-5.1539054,not aggressive,#climate change could kill half a million annually by 2050 LINK via USER_REF #globalwarming #divest,y,
2016-03-07 20:43:51+00:00,706943467457527808,-72.7762303,42.061954,Politics,0.4123581647872925,believer,male,0.84578234,not aggressive,ocean sciences article of the day - what these ancient shipwrecks could say about climate change (washington post) LINK,n,
2016-03-11 04:19:27+00:00,708145285034328064,-71.10561000000001,42.3751,Politics,-0.519185198692842,believer,female,10.057297,not aggressive,this lawsuit by a bunch of kids could be a major new front against climate change. LINK via USER_REF,y,
2016-04-28 20:46:09+00:00,725788212816449536,-80.19362000000001,25.7741728,Undefined / One Word Hashtags,0.4601002842187882,believer,female,0.91247296,not aggressive,USER_REF the #children are our future in every way imaginable! #green #science #sealevelrise #climatechange #localis  LINK,y,
2016-04-29 07:05:29+00:00,725944075854045184,-3.7389300000000003,52.2928116,Importance of Human Intervantion,0.6449406559626262,believer,male,-3.5449739,not aggressive,go canberra! bold step into the future #climatechange LINK,n,
2016-05-12 14:36:54+00:00,730768721413873664,-84.47771999999998,37.98869000000001,Weather Extremes,-0.4846231828212738,neutral,male,3.8609326,aggressive,i usually don't go full bag mode on a scientists opinions but to blame climate change for tornados in may might a bit of a stretch,n,
2016-05-18 00:22:14+00:00,732727964190801920,,,Global stance,0.5079548871517181,believer,male,,not aggressive,rt coffee lovers: research: #coffee bean shortage predicted due to climate change LINK via sfg… LINK,y,
2016-06-03 07:38:13+00:00,738635888515817472,7.625187899999999,51.962510099999996,Donald Trump versus Science,0.40732264112342487,neutral,male,3.521786,aggressive,if only we could entangle the quantum states of the new berlin airport with global warming…,n,
2016-07-05 17:01:21+00:00,750374017513709568,,,Impact of Resource Overconsumption,-0.07177919313907623,believer,female,,not aggressive,#antarctica could lose 60% of its #penguins to #climatechange by the end of the century - LINK LINK,y,
2016-07-08 17:02:11+00:00,751461390775451648,77.23149000000002,28.651950000000003,Impact of Resource Overconsumption,0.7400863347632544,believer,male,-0.0023398844,not aggressive,#dogs could b your best #guide on #trekking #trails in #himalayan treks! specially whn you face a sudden #climatechange  in high #altitudes,y,
2016-08-30 18:18:15+00:00,770687091462156288,,,Global stance,-0.03504657850265504,believer,male,,not aggressive,high seas fisheries management could recoup losses due to climate change - LINK high seas ... LINK,y,
2016-08-31 00:53:10+00:00,770786472186306560,,,Weather Extremes,-0.60074050655365,believer,female,,aggressive,2016 is going to kill us all. literally. global warming or aliens or some shit.,y,
2016-09-04 23:24:32+00:00,772576107597926400,-119.69819000000001,34.42083,Significance of Pollution Awareness Events,0.7838855518102645,believer,female,-2.9943678,not aggressive,"fantastic: birds sing to their eggs, and might help their babies deal with #climatechange : LINK via USER_REF",n,
2016-09-05 07:54:20+00:00,772704401756610560,,,Undefined / One Word Hashtags,0.413945809006691,believer,male,,not aggressive,finally someone said it! #coal #nocoal #cleanenergy #cleanfuture #timesup #climatechange #climateaction  LINK,n,
2016-09-11 19:11:45+00:00,775049208655216640,0.1220898930123415,52.1994445,Seriousness of Gas Emissions,-0.19601431462764737,believer,male,0.12293346,not aggressive,humans have destroyed onetenth of earth's wilderness in 25 years study #climatechange? #mindofstate LINK via pst USER_REF,y,
2016-09-13 15:27:47+00:00,775717618481238016,-77.04086075512475,38.88974405,Weather Extremes,-0.6568661733172158,neutral,male,2.6083713,aggressive,the worst thing about global warming is that eventually they won't be able to make new seasons of ice road truckers,y,
2016-09-28 20:47:57+00:00,781234011729309696,,,Global stance,-0.18047503039836887,believer,female,,not aggressive,USER_REF USER_REF a decade or two ahead of schedule. but here in 20 years when world war 3 happens over resources due to climate change,y,
2016-10-08 17:12:08+00:00,784803578292604928,,,Ideological Positions on Global Warming,-0.025021324372291563,believer,male,,aggressive,"so ayotte is going to support an anti-choice, anti-lgbtq, climate change denier who doesn't believe in evolution. LINK",y,
2016-10-15 16:05:08+00:00,787323429464707072,,,Global stance,-0.7032025678157806,denier,male,,not aggressive,the country is going to hell and liberals are obsessed with climate change. LINK,y,
2016-10-18 20:12:53+00:00,788472943290425344,-116.78467,34.687430000000006,Significance of Pollution Awareness Events,0.09301970899105075,believer,male,-0.69744027,not aggressive,perennial grain kernza could counter climate change; eat  drink it (!) tonight @ the perennial LINK via USER_REF,n,
2016-10-27 22:31:45+00:00,791769383135617024,-122.41942000000002,37.774930000000005,Undefined / One Word Hashtags,0.497683122754097,believer,male,1.646162,not aggressive,a daunting visual representation of predicted global sea level rise. LINK #globalwarming #climatechange #climateaction,n,
